Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Spark_5,Inference_time_5,Unseen_Mistral_ZS_Spark_5_TempOnly
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response:",5.189765214920044,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:",5.194603204727173,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver

### Response",5.208109140396118,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver

### Response:",5.207312107086182,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver

### Response",5.185805797576904,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 1.0 (TID 42),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 1.0 (TID 42)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 1.0 (TID 42)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in",5.185225486755371,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 1.0 (TID 56),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 1.0 (TID 56)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 1.0 (TID 56)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in",5.247941732406616,Running task <*> in stage <*> (TID <*>).
Running task 2.0 in stage 1.0 (TID 69),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 1.0 (TID 69)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 1.0 (TID 69)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in",5.171147584915161,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 1.0 (TID 78),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 1.0 (TID 78)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 1.0 (TID 78)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in",5.236416578292847,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 1.0 (TID 79),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 1.0 (TID 79)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 1.0 (TID 79)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in",5.197329521179199,Running task <*> in stage <*> (TID <*>).
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver

### Response",5.213083982467651,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Response",5.1645667552948,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Response",5.195009231567383,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Response",5.153066396713257,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Response",5.216406583786011,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 2.0 (TID 87),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 2.0 (TID 87)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 2.0 (TID 87)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in",5.172040700912476,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 2.0 (TID 101),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 2.0 (TID 101)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 2.0 (TID 101)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 2.0 (TID 1",5.169008731842041,<*> in stage <*> (TID <*>
Running task 2.0 in stage 2.0 (TID 112),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 2.0 (TID 112)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 2.0 (TID 112)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.",5.190150499343872,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 2.0 (TID 118),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 2.0 (TID 118)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 2.0 (TID 118)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.",5.205150127410889,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 2.0 (TID 119),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 2.0 (TID 119)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 2.0 (TID 119)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.",5.190675973892212,Running task <*> in stage <*> (TID <*>).
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver",5.203667879104614,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver",5.188164710998535,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver",5.15413498878479,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver",5.252257823944092,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Response",5.179978370666504,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 3.0 (TID 122),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 3.0 (TID 122)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 3.0 (TID 122)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.",5.196089029312134,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 3.0 (TID 136),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 3.0 (TID 136)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 3.0 (TID 136)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 3.0 (TID 1",5.185115575790405,<*> in stage <*> (TID <*>
Running task 2.0 in stage 3.0 (TID 150),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 3.0 (TID 150)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 3.0 (TID 150)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.",5.175873279571533,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 3.0 (TID 158),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 3.0 (TID 158)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 3.0 (TID 158)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.",5.177330255508423,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 3.0 (TID 159),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"<*> in stage <*> (TID <*>

### Input:
Running task 4.0 in stage 3.0 (TID 159)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 4.0 in stage 3.0 (TID 159)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 4.0 in stage 3.0 (TID 1",5.159366130828857,<*> in stage <*> (TID <*>
Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver",5.205814838409424,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver",5.174832344055176,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver",5.227325916290283,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver",5.154972553253174,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver",5.187855243682861,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 4.0 (TID 171),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 4.0 (TID 171)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 4.0 (TID 171)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.",5.174745082855225,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 4.0 (TID 185),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 4.0 (TID 185)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 4.0 (TID 185)

### Response:
<*> in stage <*> (TID <*>

### Input:
Running task 1.0 in stage 4.0 (TID 1",5.171579360961914,<*> in stage <*> (TID <*>
Running task 2.0 in stage 4.0 (TID 195),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 4.0 (TID 195)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 4.0 (TID 195)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.",5.1397926807403564,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 4.0 (TID 198),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 4.0 (TID 198)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 4.0 (TID 198)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.",5.173354148864746,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 4.0 (TID 199),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 4.0 (TID 199)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 4.0 (TID 199)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.",5.23358941078186,Running task <*> in stage <*> (TID <*>).
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver",5.181804895401001,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver",5.152344465255737,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 4.0 (TID 195). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 4.0 (TID 195). 2138 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 2.0 in stage 4.0 (TID 195). 2138 bytes result sent to driver",5.145023822784424,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver",5.186007499694824,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver",5.17399263381958,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 5.0 (TID 206),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 5.0 (TID 206)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 5.0 (TID 206)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.",5.183006286621094,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 5.0 (TID 220),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 5.0 (TID 220)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 5.0 (TID 220)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.",5.17966628074646,Running task <*> in stage <*> (TID <*>).
