Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Mac_5,Inference_time_5,Unseen_Mistral_ZS_Mac_5_TempOnly
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,AppleCamIn::wakeEventHandlerThread(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.217427730560303,AppleCamIn::wakeEventHandlerThread(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
"ARPT: 626908.045241: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.275770425796509,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
RTC: PowerByCalendarDate setting ignored,RTC: PowerByCalendarDate setting ignored,Mac,Unseen,"RTC: <*> setting ignored

### Input:
RTC: PowerByCalendarDate setting ignored
RTC: PowerByCalendarDate setting ignored

### Response:
RTC: <*> setting ignored
RTC: <*> setting ignored

### Input:
RTC: PowerByCalendarDate setting ignored
RTC: PowerByCalendarDate setting ignored
RTC: PowerByCalendarDate setting ignored

### Response:
RTC: <*> setting ignored
RTC: <*> setting ignored
RTC: <*> setting ignored

###",5.214335441589356,RTC: <*> setting ignored
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.24283766746521,<*> icon should now be in state '<*>'
PMStats: Hibernate read took 197 ms,PMStats: Hibernate read took <*> ms,Mac,Unseen,"PMStats: <*> took <*> ms

### Input:
PMStats: Hibernate read took 197 ms

### Response:
PMStats: <*> took <*> ms

### Input:
PMStats: Hibernate read took 197 ms

### Response:
PMStats: <*> took <*> ms

### Input:
PMStats: Hibernate read took 197 ms

### Response:
PMStats: <*> took <*> ms

### Input:
PMStats:",5.219805479049683,PMStats: <*> took <*> ms
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>

### Input:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}

### Response:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>",5.265840530395508,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].],Mac,Unseen,"[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: <*>]

### Input:
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].]

### Response:
[com.apple.calendar.store.log.caldav.coredav] [Refusing",5.2407073974609375,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: <*>]
"NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520665636.6","NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",Mac,Unseen,"NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>


### Input:
NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520665636.6

### Response:
NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>


### Input:
NETWORK: requ",5.259695053100586,NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
Wake reason: RTC (Alarm),Wake reason: RTC (Alarm),Mac,Unseen,"Wake reason: <*>

### Input:
Wake reason: RTC (Alarm)

### Response:
Wake reason: <*>

### Input:
Wake reason: RTC (Alarm)

### Response:
Wake reason: <*>

### Input:
Wake reason: RTC (Alarm)

### Response:
Wake reason: <*>

### Input:
Wake reason: RTC (Alarm)

### Response:
Wake reason: <*>",5.194805145263672,Wake reason: <*>
"NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520708962.7","NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",Mac,Unseen,"NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>


### Input:
NETWORK: requery, 0, 0, 0, 0, 250, items, fQueryRetries, 0, fLastRetryTimestamp, 520708962.7

### Response:
NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>


### Input:
NETWORK: requ",5.240749835968018,NETWORK: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
"ARPT: 645791.413780: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 156,","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>,",Mac,Unseen,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.243510246276856,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
Captive: CNPluginHandler en0: Authenticated,Captive: CNPluginHandler en0: Authenticated,Mac,Unseen,"Captive: <*> en0: Authenticated

### Input:
Captive: CNPluginHandler en0: Authenticated

### Response:
Captive: <*> en0: Authenticated

### Input:
Captive: CNPluginHandler en0: Authenticated

### Response:
Captive: <*> en0: Authenticated

### Input:
Captive: CNPluginHandler en0: Authenticated

### Response:
Captive: <*> en0: Authenticated",5.195447683334351,Captive: <*> en0: Authenticated
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.218574285507202,<*> icon should now be in state '<*>'
"ARPT: 646292.668059: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.217204809188843,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.2281012535095215,<*> icon should now be in state '<*>'
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.198864459991455,<*> icon should now be in state '<*>'
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>

### Input:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}

### Response:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>",5.28705096244812,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"
2017-07-02 15:46:41.445 ksfetch[32435/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4&cup2key=7:1132320327 }) to folder:/tmp/KSOutOfProcessFetcher.YH2CjY1tnx/download,<*>-<*>-<*> <*>:<*>:<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,Mac,Unseen,2017-07-02 15:46:41.445 <*>[lvl=2] main() <*> fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9,5.270514011383057,2017-07-02 15:46:41.445 <*>[lvl=2] main() <*> fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.249246120452881,<*> icon should now be in state '<*>'
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.205125093460083,<*> icon should now be in state '<*>'
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0

### Response:
AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>

### Input:
AppleThunderboltNHIType2::waitForOk2Go",5.255406141281128,AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,"CCXPCService::setStreamEventHandler <*> Registered for notification callback.


### Input:
CCXPCService::setStreamEventHandler Registered for notification callback.

### Response:
CCXPCService::setStreamEventHandler <*> Registered for notification callback.


### Input:
CCXPCService::setStreamEventHandler Registered for notification callback.

### Response:
CCXPCService::setStreamEventHandler <*> Registered for notification callback.


### Input:
CCXPCService::setStreamEventHandler Registered for",5.208369731903076,CCXPCService::setStreamEventHandler <*> Registered for notification callback.
"ARPT: 661856.313502: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.259146928787232,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0

### Response:
AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>

### Input:
AppleThunderboltNHIType2::waitForOk2Go",5.221353769302368,AppleThunderboltNHIType2::waitForOk2Go2Sx - <*> = <*>
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,AppleCamIn::wakeEventHandlerThread(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.20001745223999,AppleCamIn::wakeEventHandlerThread(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.2136406898498535,<*> icon should now be in state '<*>'
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fe13512cf70 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}",Mac,Unseen,"<*> failed with Error Error Domain=<*> Code=<*> ""<*>."" UserInfo={NSUnderlyingError=0x7fe13512cf70 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/",5.2670533657073975,"<*> failed with Error Error Domain=<*> Code=<*> ""<*>."" UserInfo={NSUnderlyingError=0x7fe13512cf70 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/"
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,"<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now be in state 'Active'

### Response:
<*> icon should now be in state '<*>'

### Input:
Location icon should now",5.225221633911133,<*> icon should now be in state '<*>'
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>

### Input:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}

### Response:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>",5.230142831802368,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"
"Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.","Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",Mac,Unseen,"Configuration Notice: ASL Module '<*>' claims selected messages. Those messages may not appear in standard system log files or in the ASL database.

### Input:
Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.

### Response:
Configuration Notice: ASL Module '<*>' claims selected messages. Those messages may not appear in standard system log files or in the ASL database.

### Input:
Configuration Notice: ASL Module """,5.239563465118408,Configuration Notice: ASL Module '<*>' claims selected messages. Those messages may not appear in standard system log files or in the ASL database.
"ARPT: 671856.784669: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 18011,","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>,",Mac,Unseen,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><,5.227600812911987,ARPT: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><
