Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_HealthApp_3,Inference_time_3,Unseen_Mistral_ZS_HealthApp_3_TempOnly
setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##,5.178763628005981,<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##<*>##
REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7015 5008 150261 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7015 5008 150261 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7015",5.187870025634766,REPORT : <*> <*> <*> <*>
onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,HealthApp,Unseen,"onReceive <*> <*>


### Input:
onReceive action: android.intent.action.SCREEN_ON

### Response:
onReceive <*> <*>


### Input:
onReceive action: android.intent.action.BOOT_COMPLETED

### Response:
onReceive <*> <*>


### Input:
onReceive action: android.intent.action.USER_PRESENT

### Response:
onReceive <*> <*>


### Input",5.145594358444214,onReceive <*> <*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.202340364456177,<*>##<*>##<*>##<*>##<*>##<*>
"screen status unknown,think screen on","screen status unknown,think screen on",HealthApp,Unseen,"<*> status <*>

### Input:
screen status unknown,think screen on

### Response:
<*> status <*>

### Input:
screen status unknown,think screen on

### Response:
<*> status <*>

### Input:
screen status unknown,think screen on

### Response:
<*> status <*>

### Input:
screen status unknown,think screen on

### Response:
<*> status <*>

### Input:
screen status unknown,think screen on

### Response:",5.1667320728302,<*> status <*>
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7017 5010 150304 240 10000000000000000000000000000000000000000000000000000000000000000000000000000",5.1756651401519775,REPORT : <*> <*> <*> <*>
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"<*> action: <*>


### Input:
onReceive action: android.intent.action.SCREEN_ON

### Response:
<*> action: <*>


### Input:
onReceive action: android.intent.action.SCREEN_ON

### Response:
<*> action: <*>


### Input:
onReceive action: android.intent.action.SCREEN_ON

### Response:
<*> action: <*>


### Input:
onReceive action:",5.13289737701416,<*> action: <*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.199413061141968,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7017 5010 150304 240 10000000000000000000000000000000000000000000000000000000000000000000000000000",5.155196666717529,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.211038827896118,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7018 5010 150325 240 100000000000000000000000000000000000000000000000000000000000000000000000000000",5.1694395542144775,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.234794616699219,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7019 5011 150346 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7019 5011 150346 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7019 5011 150346 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7019",5.2001824378967285,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.194524049758911,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7020 5012 150368 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7020 5012 150368 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7020",5.158728837966919,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971

### Response:",5.147215366363525,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7021 5012 150389 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7021 5012 150389 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7021",5.234836101531982,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.1942644119262695,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7022 5013 150411 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7022 5013 150411 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 70",5.220453262329102,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.189945936203003,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7023 5014 150432 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7023 5014 150432 240 1000

### Response:
REPORT : <*> <*> <*> <*> <*>

### Input:
REPORT : 7023 5014 150432 240 1000 1000

### Response:
REPORT : <*> <*> <*>",5.163132667541504,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.200329303741455,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7024 5015 150454 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*> <*>

### Input:
REPORT : 7024 5015 150454 240 1000

### Response:
REPORT : <*> <*> <*> <*> <*> <*>

### Input:
REPORT : 7024 5015 150454 240 1000 1000

### Response:
REPORT : <*>",5.173765420913696,REPORT : <*> <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.169461250305176,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*> <*>

### Input:
REPORT : 7025 5015 150475 240 1000000000000000000000000000000000000000000000000000000000000000000000000000",5.2713236808776855,REPORT : <*> <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.213573932647705,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7026 5016 150496 240 100000000000000000000000000000000000000000000000000000000000000000000000000000",5.147092819213867,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*##7027##548365##8661##14166##27185467>


### Input:
setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467##1514038440000##7027##54836",5.247360467910767,<*##7027##548365##8661##14166##27185467>
REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7027 5017 150518 240 100000000000000000000000000000000000000000000000000000000000000000000000000000",5.159278392791748,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.183986663818359,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7028 5017 150539 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7028 5017 150539 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7028 5017 150539 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7028",5.158785104751587,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.220988035202026,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7029 5018 150561 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7029 5018 150561 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7029 5018 150561 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7029",5.168059587478638,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.17209267616272,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7030 5019 150582 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7030 5019 150582 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7030 5019 150582 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7030",5.157726287841797,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.198847770690918,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7031 5020 150604 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7031 5020 150604 240 10000000000000000000000000000000000000000000000000000000000000000000000000000",5.2325544357299805,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.187770843505859,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7032 5020 150625 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7032 5020 150625 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7032 5020 150625 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 70",5.237484455108643,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.178618669509888,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7033 5021 150646 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7033 5021 150646 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7033 5021 150646 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7033",5.24756932258606,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.151365518569946,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7034 5022 150668 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7034 5022 150668 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7034 5022 150668 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7034",5.174467086791992,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.204980611801148,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7035 5022 150689 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7035 5022 150689 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7035 5022 150689 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7035",5.201455116271973,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.239776372909546,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7036 5023 150711 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7036 5023 150711 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7036 5023 150711 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 70",5.13696813583374,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969

### Response:
<*>##<*>##<*>##<*>##<*>##<*>


### Input:
setTodayTotalDetailSteps=15140",5.173148393630981,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7037 5024 150732 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7037 5024 150732 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7037 5024 150732 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7037",5.15625,REPORT : <*> <*> <*> <*>
