Content,EventTemplate,Dataset,Category
onStandStepChanged 3643,onStandStepChanged <*>,HealthApp,SeenTemplate
onExtend:1514038668000 1 0 4,onExtend:<*> <*> <*> <*>,HealthApp,SeenTemplate
processHandleBroadcastAction action:android.intent.action.TIME_TICK,processHandleBroadcastAction action:android.intent.action.TIME_TICK,HealthApp,SeenTemplate
flush sensor data,flush sensor data,HealthApp,SeenTemplate
 getTodayTotalDetailSteps = 1514043660000##7214##549659##8661##16256##32403526,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,HealthApp,SeenTemplate
calculateCaloriesWithCache totalCalories=127910,calculateCaloriesWithCache totalCalories=<*>,HealthApp,SeenTemplate
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,HealthApp,SeenTemplate
 getStepCounterStatus= true,getStepCounterStatus= <*>,HealthApp,SeenTemplate
flushTempCacheToDB by stand,flushTempCacheToDB by stand,HealthApp,SeenTemplate
Alarm uploadStaticsToDB totalSteps=7163Calories:153367Floor:240Distance:5112,Alarm uploadStaticsToDB totalSteps=<*>:<*>:<*>:<*>,HealthApp,SeenTemplate
writeDataToDB size 327,writeDataToDB size <*>,HealthApp,SeenTemplate
getBinderPackageName packageName = com.huawei.health,getBinderPackageName packageName = com.huawei.health,HealthApp,SeenTemplate
insertHiHealthData() checkAppType  0 appID = 1,insertHiHealthData() checkAppType <*> appID = <*>,HealthApp,SeenTemplate
"insertHiHealthData() size = 4,app = 1,One Data Type = 40002,packageName = com.huawei.health,writeStatType = 0","insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>",HealthApp,SeenTemplate
"saveHealthDetailData() deviceID = 2,clientID=1,id=1","saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>",HealthApp,SeenTemplate
"new date =20171223, type=40006,7140.0,old=6900.0","new date =<*>, type=<*>,<*>,old=<*>",HealthApp,SeenTemplate
"saveHealthDetailData() saveOneDetailData fail hiHealthData = 1513958400000,type = 40005","saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>",HealthApp,SeenTemplate
"bulkSaveDetailHiHealthData() size = 4,totalTime = 30","bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>",HealthApp,SeenTemplate
"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT","insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT",HealthApp,SeenTemplate
uploadStaticsToDB() onResult  type = 4 obj=true,uploadStaticsToDB() onResult type = <*> obj=<*>,HealthApp,SeenTemplate
uploadStaticsToDB failed message=true,uploadStaticsToDB failed message=<*>,HealthApp,SeenTemplate
checkInsertStatus stepStatSum or calorieStatSum is enough,checkInsertStatus stepStatSum or calorieStatSum is enough,HealthApp,SeenTemplate
"startInsertSportSync start auto sync,app is 1","startInsertSportSync start auto sync,app is <*>",HealthApp,SeenTemplate
"checkFirstSyncByType no such data in db ,type is 1 deviceCode is 0","checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",HealthApp,SeenTemplate
"startInsertSportSync first 500 steps sync,do all sync","startInsertSportSync first <*> steps sync,do all sync",HealthApp,SeenTemplate
"startSync hiSyncOption = HiSyncOption{syncAction=2, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1","startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",HealthApp,SeenTemplate
needAutoSync autoSyncSwitch is open,needAutoSync autoSyncSwitch is open,HealthApp,SeenTemplate
"initDataPrivacy the dataPrivacy switch is open, start push health data!","initDataPrivacy the dataPrivacy switch is open, start push health data!",HealthApp,SeenTemplate
initDataPrivacy the dataPrivacy is true,initDataPrivacy the dataPrivacy is <*>,HealthApp,SeenTemplate
ifCanSync not! no cloud version,ifCanSync not! no cloud version,HealthApp,SeenTemplate
"saveRealTimeHealthDatasStat() size = 1,totalTime = 48","saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>",HealthApp,SeenTemplate
InsertCallBack() onSuccess  type = 0 data=true,InsertCallBack() onSuccess type = <*> data=<*>,HealthApp,SeenTemplate
InsertEvent success begin:25233975 end:25233979,InsertEvent success begin:<*> end:<*>,HealthApp,SeenTemplate
setWriteDBLastDataMinute success,setWriteDBLastDataMinute success,HealthApp,SeenTemplate
startTimer start autoSync,startTimer start autoSync,HealthApp,SeenTemplate
getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,getTodaySportData mStepsRecordManager=<*>,HealthApp,SeenTemplate
initEnviroument,initEnviroument,HealthApp,SeenTemplate
reStartStepCounter,reStartStepCounter,HealthApp,SeenTemplate
clear(),clear(),HealthApp,SeenTemplate
 getTodayBasicStandardSteps= 1514044800223##3786##0,getTodayBasicStandardSteps= <*>##<*>##<*>,HealthApp,SeenTemplate
tryToRecordAsBasicStepData bWrite true,tryToRecordAsBasicStepData bWrite <*>,HealthApp,SeenTemplate
 getDiffTotalSteps= 1514044800231##0,getDiffTotalSteps= <*>##<*>,HealthApp,SeenTemplate
setDiffTotalSteps=0,setDiffTotalSteps=<*>,HealthApp,SeenTemplate
tryToReloadTodayBasicSteps1514044800223|3786|0|0,<*>|<*>|<*>|<*>,HealthApp,SeenTemplate
next day:steps0mLastReport7214,next day:<*>,HealthApp,SeenTemplate
setGoalNotifiShownRecord 1514044800237 false,setGoalNotifiShownRecord <*> <*>,HealthApp,SeenTemplate
closeNotification...,closeNotification...,HealthApp,SeenTemplate
deleteHealthNotification(),deleteHealthNotification(),HealthApp,SeenTemplate
"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223","checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",HealthApp,SeenTemplate
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,Linux,SeenTemplate
check pass; user unknown,check pass; user unknown,Linux,SeenTemplate
session opened for user cyrus by (uid=0),session opened for user <*> by (uid=<*>),Linux,SeenTemplate
ALERT exited abnormally with [1],ALERT exited abnormally with [<*>],Linux,SeenTemplate
session closed for user news,session closed for user <*>,Linux,SeenTemplate
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,Linux,SeenTemplate
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,Linux,SeenTemplate
cupsd shutdown succeeded,cupsd shutdown succeeded,Linux,SeenTemplate
cupsd startup succeeded,cupsd startup succeeded,Linux,SeenTemplate
Received SNMP packet(s) from 67.170.148.126,Received SNMP packet(s) from <*>,Linux,SeenTemplate
Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,Authentication failed from <*> (<*>): Permission denied in replay cache code,Linux,SeenTemplate
Kerberos authentication failed,Kerberos authentication failed,Linux,SeenTemplate
Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,Authentication failed from <*> (<*>): Software caused connection abort,Linux,SeenTemplate
