Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HDFS_1,Inference_time_5,Inference_time_1,New_LLAMA_2S_HDFS_1_TempOnly
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,"Error =, LOGIN chdir(<*>) failed: No such file at <*>:<*> point [<*>], connect to proxy <*>:<*> to renew session (<*>)
",0.0,1.7450921535491943,"Error =, LOGIN chdir(<*>) failed: No such file at <*>:<*> point [<*>], connect to proxy <*>:<*> to renew session (<*>)
"
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Extracted template: Receiving block <*> src: <*> dest: <*>,0.0,0.849844217300415,Extracted template: Receiving block <*> src: <*> dest: <*>
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block <*> src: <*> dest: <*>
",0.0,0.8839163780212402,"Extracted template: Receiving block <*> src: <*> dest: <*>
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",0.0,1.2863967418670654,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
"
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block blk_<> src: <*>:<*>, dest: <*>:<*>
",0.0,1.2147245407104492,"Extracted template: Receiving block blk_<> src: <*>:<*>, dest: <*>:<*>
"
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_<*>

### Input:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100

### Response:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-005",0.0,5.592479944229126,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_<*>
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 1 for block <*> terminating

### Explanation:
* is the placeholder for variable elements.
",0.0,1.1312203407287598,PacketResponder 1 for block <*> terminating
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block <*> of size <*> from <*>,HDFS,New,"blk_9212264480425680329

### Note:
1. If the input is an empty string, the response is an empty string.
2. The input may contain more than one log message, in this case, you should extract the template for each log message and return the templates in the same order as the input log messages.",0.0,3.324033260345459,blk_9212264480425680329
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_<*>,0.0,1.8956632614135744,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",0.0,1.360253095626831,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
"
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block blk_-5704899712662113150 of size <*> from <*>,0.0,1.120706558227539,Extracted template: Received block blk_-5704899712662113150 of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>.<*>:<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.,0.0,5.568997383117676,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>.<*>:<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>


",0.0,1.316877365112305,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block blk_<*> of size <*> from <*>,0.0,0.858661413192749,Extracted template: Received block blk_<*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",0.0,1.298511266708374,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
"
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>

### Input:
Receiving block blk_15396432459934110 src: /10.251.123.132:57542 dest: /10.251.123.132:50010

### Response:
Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>

### Input:
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.",0.0,5.627265214920044,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>"
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Received block <*> of size <*> from <*>,HDFS,New,"blk_8291449241650212794,67108864,/10.251.89.155
",0.0,1.2046804428100586,"blk_8291449241650212794,67108864,/10.251.89.155
"
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_<*>
",0.0,1.953663110733032,"BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_<*>
"
Verification succeeded for blk_-4980916519894289629,Verification succeeded for <*>,HDFS,New,"Verification succeeded for blk_<*>
",0.0,0.5438370704650879,"Verification succeeded for blk_<*>
"
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_1160259599184603412 of size 67108864 from /10.251.31.180

### Response:
Extracted template: Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180

### Response:
Extracted template: Received block blk_<*> of size <*> from <*>

### Input:
Received block blk_-597483",0.0,5.600655317306519,Extracted template: Received block blk_<*> of size <*> from <*>
Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>
",0.0,1.2300372123718262,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>
"
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block <*> of size <*> from <*>,0.0,0.7777159214019775,Extracted template: Received block <*> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.0,1.255603313446045,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_2937758977269298350 src: <*>:<*>, dest: <*>:<*>
",0.0,1.3141276836395264,"Receiving block blk_2937758977269298350 src: <*>:<*>, dest: <*>:<*>
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",0.0,1.3213152885437012,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
"
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block <*> of size <*> from <*>

### Input:
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80

### Response:
Extracted template: Received block <*> of size <*> from <*>",0.0,2.83616042137146,Extracted template: Received block <*> of size <*> from <*>
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Received block <*> of size <*> from <*>,HDFS,New,"blk_-2094397855762091248
",0.0,0.6842896938323975,"blk_-2094397855762091248
"
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Received block <*> of size <*> from <*>,HDFS,New,"blk_-8523968015014407246 of size 67108864

### Response Type:
text

### Output:
blk_-8523968015014407246 of size 67108864
",0.0,2.0675766468048096,blk_-8523968015014407246 of size 67108864
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>


### Output:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864
",0.0,3.3250508308410645,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_-6276023454199613372 src: /<*>:<*>, dest: /<*>:<*>
",0.0,1.513392448425293,"Receiving block blk_-6276023454199613372 src: /<*>:<*>, dest: /<*>:<*>
"
Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Received block <*> of size <*> from <*>,HDFS,New,"blk_4755566011267050000, 67108864, /10.251.75.79

### Explanation:
The log message contains a variable element with the placeholder '<<>>'. The variable element is the number 67108864. The template is blk_4755566011267050000, <<>>, /10.251.75.79

### Input:
[2021-03-19 03:04:12,050]  INFO - 127.0.0.1 - - [19/Mar/2021:03:04:",0.0,5.586780309677124,"blk_4755566011267050000, 67108864, /10.251.75.79"
Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block <*> of size <*> from <*>

### Explanation:
The first element in the log message is the variable 'blk_-3909548841543565741'. The second element is the variable '3542967'. The third element is the variable '/10.251.195.33'.
",0.0,3.0601532459259038,Extracted template: Received block <*> of size <*> from <*>
Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block <*> src: <*>:<*>, dest: <*>:<*>
",0.0,1.1307249069213867,"Extracted template: Receiving block <*> src: <*>:<*>, dest: <*>:<*>
"
Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block blk_<> of size <*> from <*>,0.0,0.8643372058868408,Extracted template: Received block blk_<> of size <*> from <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.0,1.252242088317871,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-5073870177832699716 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 1 for block blk_1530635238158426570 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 1 for block blk_1530635238158426570 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 1 for block blk_1530635238158426570 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 1 for block blk_",0.0,5.582886695861816,PacketResponder <*> for block blk_<*> terminating
Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block blk_<*> of size <*> from <*>
",0.0,0.9087705612182616,"Extracted template: Received block blk_<*> of size <*> from <*>
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",0.0,1.3002173900604248,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
"
PacketResponder 0 for block blk_7791237942696729620 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 0 for block blk_<> terminating

### Input:
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error =, LOGIN chdir(<*>) failed: No such file",0.0,5.604093790054321,PacketResponder 0 for block blk_<> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.0,1.2731211185455322,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,Received block <*> of size <*> from <*>,HDFS,New,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
",0.0,4.241222143173218,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.0,1.2663791179656982,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-1527267659500322006 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
ciod: In packet from nodes 1 and node-1 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)

### Response:
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)

### Input:
ciod: In packet",0.0,5.597657442092896,PacketResponder <*> for block <*> terminating
PacketResponder 1 for block blk_4886940526690879848 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_4886940526690879848 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_4886940526690879848 terminating",0.0,5.597734212875366,PacketResponder <*> for block <*> terminating
Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block <*> of size <*> from <*@*@>
",0.0,0.9081664085388184,"Extracted template: Received block <*> of size <*> from <*@*@>
"
PacketResponder 0 for block blk_-4229375751333894621 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating
",0.0,0.5745036602020264,"PacketResponder <*> for block <*> terminating
"
Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>
",0.0,1.3145182132720947,"Extracted template: Receiving block blk_<*> src: <*>:<*>, dest: <*>:<*>
"
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775

### Input:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775

### Response:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001",0.0,5.58284068107605,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_<*>,0.0,1.9047625064849851,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_<*>
Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,Received block <*> of size <*> from <*>,HDFS,New,"blk_-518701095493827363 of size 67108864 from /10.251.214.67
",0.0,1.327918291091919,"blk_-518701095493827363 of size 67108864 from /10.251.214.67
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.0,1.2694101333618164,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*>
",0.0,0.949148416519165,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*>
"
Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block blk_<*> of size <*> from /<*>

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Example 1:
Log message: 2020-09-08 17:10:59, 10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)",0.0,5.592113971710205,Extracted template: Received block blk_<*> of size <*> from /<*>
Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block <*> of size <*> from /<*>
",0.0,0.9070003032684326,"Extracted template: Received block <*> of size <*> from /<*>
"
Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block blk_<*> of size <*> from <*>

### Explanation:
The log message consists of 3 parts. The first part is the keyword ""Received block"". The second part is the variable element ""blk_-1614641487214609125"" which can be replaced by the placeholder ""<*>"". The third part is the variable element ""67108864"" which can be replaced by the placeholder ""<*>"". The fourth part is the variable element ""/10.251.193.175"" which can be replaced by the placeholder ""<*>"". The extracted template is ""Received block",0.0,5.638996601104736,Extracted template: Received block blk_<*> of size <*> from <*>
Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block <*> of size <*> from <*>,0.0,0.7731344699859619,Extracted template: Received block <*> of size <*> from <*>
