Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_Spark_5,Inference_time_5
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Output:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Explanation:
Finished task 1.0 in",5.086154460906982
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.",5.16606879234314
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.",5.084481477737427
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.",5.127873420715332
Running task 0.0 in stage 2.0 (TID 87),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 2.0 (TID 87)

### Output:
Running task 0.0 in stage 2.0 (TID 87)

### Explanation:
Running task 0.0 in stage 2.0 (TID 87)

### Output:
Running task 0.0 in stage 2.0 (TID 87)

### Explanation:
Running task 0.0 in stage 2.0 (TID",5.0767035484313965
Running task 1.0 in stage 2.0 (TID 101),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 2.0 (TID 101)

### Output:
Running task 1.0 in stage 2.0 (TID 101)

### Explanation:
Running task 1.0 in stage 2.0 (TID 101)

### Output:
Running task 1.0 in stage 2.0 (TID 101)

### Explanation:
Running task 1.0 in stage 2.0",5.109454154968262
Running task 2.0 in stage 2.0 (TID 112),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 2.0 (TID 112)

### Output:
Running task 2.0 in stage 2.0 (TID 112)

### Explanation:
Running task 2.0 in stage 2.0 (TID 112)

### Output:
Running task 2.0 in stage 2.0 (TID 112)

### Explanation:
Running task 2.0 in stage 2.0",5.087897062301636
Running task 3.0 in stage 2.0 (TID 118),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 2.0 (TID 118)

### Output:
Running task 3.0 in stage 2.0 (TID 118)

### Explanation:
Running task 3.0 in stage 2.0 (TID 118)

### Output:
Running task 3.0 in stage 2.0 (TID 118)

### Explanation:
Running task 3.0 in stage 2.0",5.064878702163696
Running task 4.0 in stage 2.0 (TID 119),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 2.0 (TID 119)

### Output:
Running task 4.0 in stage 2.0 (TID 119)

### Explanation:
Running task 4.0 in stage 2.0 (TID 119)

### Output:
Running task 4.0 in stage 2.0 (TID 119)

### Explanation:
Running task 4.0 in stage 2.0",5.1398937702178955
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task",5.088151693344116
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.247612237930298
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task",5.110171794891357
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task",5.103630065917969
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.",5.127464771270752
Running task 0.0 in stage 3.0 (TID 122),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 3.0 (TID 122)

### Output:
Running task 0.0 in stage 3.0 (TID 122)

### Explanation:
Running task 0.0 in stage 3.0 (TID 122)

### Output:
Running task 0.0 in stage 3.0 (TID 122)

### Explanation:
Running task 0.0 in stage 3.0",4.978022336959839
Running task 1.0 in stage 3.0 (TID 136),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 3.0 (TID 136)

### Output:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3",4.9995386600494385
Running task 2.0 in stage 3.0 (TID 150),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 3.0 (TID 150)

### Output:
Running task 2.0 in stage 3.0 (TID 150)

### Explanation:
Running task 2.0 in stage 3.0 (TID 150)

### Output:
Running task 2.0 in stage 3.0 (TID 150)

### Explanation:
Running task 2.0 in stage 3.0",4.995800256729126
Running task 3.0 in stage 3.0 (TID 158),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 3.0 (TID 158)

### Output:
Running task 3.0 in stage 3.0 (TID 158)

### Explanation:
Running task 3.0 in stage 3.0 (TID 158)

### Output:
Running task 3.0 in stage 3.0 (TID 158)

### Explanation:
Running task 3.0 in stage 3.0",5.1051459312438965
Running task 4.0 in stage 3.0 (TID 159),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 3.0 (TID 159)

### Output:
Running task 4.0 in stage 3.0 (TID 159)

### Explanation:
Running task 4.0 in stage 3.0 (TID 159)

### Output:
Running task 4.0 in stage 3.0 (TID 159)

### Explanation:
Running task 4.0 in stage 3.0",5.067802429199219
Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,1.4090445041656494
Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,1.401587963104248
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task",5.142470836639404
Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.1925697326660156
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task",5.085302114486694
Running task 0.0 in stage 4.0 (TID 171),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 4.0 (TID 171)

### Output:
Running task 0.0 in stage 4.0 (TID 171)

### Explanation:
Running task 0.0 in stage 4.0 (TID 171)

### Output:
Running task 0.0 in stage 4.0 (TID 171)

### Explanation:
Running task 0.0 in stage 4.0",5.131317138671875
Running task 1.0 in stage 4.0 (TID 185),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 4.0 (TID 185)

### Output:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4",5.043946981430054
Running task 2.0 in stage 4.0 (TID 195),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 4.0 (TID 195)

### Output:
Running task 2.0 in stage 4.0 (TID 195)

### Explanation:
Running task 2.0 in stage 4.0 (TID 195)

### Output:
Running task 2.0 in stage 4.0 (TID 195)

### Explanation:
Running task 2.0 in stage 4.0",5.117584228515625
Running task 3.0 in stage 4.0 (TID 198),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 4.0 (TID 198)

### Output:
Running task 3.0 in stage 4.0 (TID 198)

### Explanation:
Running task 3.0 in stage 4.0 (TID 198)

### Output:
Running task 3.0 in stage 4.0 (TID 198)

### Explanation:
Running task 3.0 in stage 4.0",5.063459634780884
Running task 4.0 in stage 4.0 (TID 199),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 4.0 (TID 199)

### Output:
Running task 4.0 in stage 4.0 (TID 199)

### Explanation:
Running task 4.0 in stage 4.0 (TID 199)

### Output:
Running task 4.0 in stage 4.0 (TID 199)

### Explanation:
Running task 4.0 in stage 4.0",5.124837160110474
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task",5.076397657394409
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task",5.112495422363281
Finished task 2.0 in stage 4.0 (TID 195). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.2295913696289062
Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.2020299434661865
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task",5.078281402587891
Running task 0.0 in stage 5.0 (TID 206),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 5.0 (TID 206)

### Output:
Running task 0.0 in stage 5.0 (TID 206)

### Explanation:
Running task 0.0 in stage 5.0 (TID 206)

### Output:
Running task 0.0 in stage 5.0 (TID 206)

### Explanation:
Running task 0.0 in stage 5.0",5.133468389511108
Running task 1.0 in stage 5.0 (TID 220),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 5.0 (TID 220)

### Output:
Running task 1.0 in stage 5.0 (TID 220)

### Explanation:
Running task 1.0 in stage 5.0 (TID 220)

### Output:
Running task 1.0 in stage 5.0 (TID 220)

### Explanation:
Running task 1.0 in stage 5.0",5.0683228969573975
Running task 2.0 in stage 5.0 (TID 231),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 5.0 (TID 231)

### Output:
Running task 2.0 in stage 5.0 (TID 231)

### Explanation:
Running task 2.0 in stage 5.0 (TID 231)

### Output:
Running task 2.0 in stage 5.0 (TID 231)

### Explanation:
Running task 2.0 in stage 5.0",5.138683319091797
Running task 3.0 in stage 5.0 (TID 238),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 5.0 (TID 238)

### Output:
Running task 3.0 in stage 5.0 (TID 238)

### Explanation:
Running task 3.0 in stage 5.0 (TID 238)

### Output:
Running task 3.0 in stage 5.0 (TID 238)

### Explanation:
Running task 3.0 in stage 5.0",5.0798022747039795
Running task 4.0 in stage 5.0 (TID 239),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 5.0 (TID 239)

### Output:
Running task 4.0 in stage 5.0 (TID 239)

### Explanation:
Running task 4.0 in stage 5.0 (TID 239)

### Output:
Running task 4.0 in stage 5.0 (TID 239)

### Explanation:
Running task 4.0 in stage 5.0",5.141835689544678
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task",5.063707590103149
Finished task 3.0 in stage 5.0 (TID 238). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 3.0 in stage 5.0 (TID 238). 2198 bytes result sent to driver,1.3948888778686523
Finished task 2.0 in stage 5.0 (TID 231). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.17409086227417
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task",5.122992515563965
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task",5.0936713218688965
Running task 0.0 in stage 6.0 (TID 247),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 6.0 (TID 247)

### Output:
Running task 0.0 in stage 6.0 (TID 247)

### Explanation:
Running task 0.0 in stage 6.0 (TID 247)

### Output:
Running task 0.0 in stage 6.0 (TID 247)

### Explanation:
Running task 0.0 in stage 6.0",5.12588095664978
Running task 1.0 in stage 6.0 (TID 261),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 6.0 (TID 261)

### Output:
Running task 1.0 in stage 6.0 (TID 261)

### Explanation:
Running task 1.0 in stage 6.0 (TID 261)

### Output:
Running task 1.0 in stage 6.0 (TID 261)

### Explanation:
Running task 1.0 in stage 6.0",5.046894550323486
Running task 2.0 in stage 6.0 (TID 273),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 6.0 (TID 273)

### Output:
Running task 2.0 in stage 6.0 (TID 273)

### Explanation:
Running task 2.0 in stage 6.0 (TID 273)

### Output:
Running task 2.0 in stage 6.0 (TID 273)

### Explanation:
Running task 2.0 in stage 6.0",5.102946758270264
Running task 3.0 in stage 6.0 (TID 278),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 6.0 (TID 278)

### Output:
Running task 3.0 in stage 6.0 (TID 278)

### Explanation:
Running task 3.0 in stage 6.0 (TID 278)

### Output:
Running task 3.0 in stage 6.0 (TID 278)

### Explanation:
Running task 3.0 in stage 6.0",5.05539345741272
Running task 4.0 in stage 6.0 (TID 279),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 6.0 (TID 279)

### Output:
Running task 4.0 in stage 6.0 (TID 279)

### Explanation:
Running task 4.0 in stage 6.0 (TID 279)

### Output:
Running task 4.0 in stage 6.0 (TID 279)

### Explanation:
Running task 4.0 in stage 6.0",5.07736873626709
