Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_Spark_2,Inference_time_2
Running task 3.0 in stage 1.0 (TID 78),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 1.0 (TID 78)

### Output:
Running task 3.0 in stage 1.0 (TID 78)

### Explanation:
Running task 3.0 in stage 1.0 (TID 78)

### Output:
Running task 3.0 in stage 1.0 (TID 78)

### Explanation:
Running task 3.0 in stage 1.0 (TID",5.182629823684692
Running task 4.0 in stage 1.0 (TID 79),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 1.0 (TID 79)

### Output:
Running task 4.0 in stage 1.0 (TID 79)

### Explanation:
Running task 4.0 in stage 1.0 (TID 79)

### Output:
Running task 4.0 in stage 1.0 (TID 79)

### Explanation:
Running task 4.0 in stage 1.0 (TID",5.1977269649505615
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver

### Explanation:
Finished task 4.",5.160884380340576
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Output:
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver

### Explanation:
Finished task 1.0 in",5.178933620452881
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver

### Explanation:
Finished task 0.",5.208926439285278
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver

### Explanation:
Finished task 3.",5.166718482971191
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver

### Explanation:
Finished task 2.",5.165540933609009
Running task 0.0 in stage 2.0 (TID 87),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 2.0 (TID 87)

### Output:
Running task 0.0 in stage 2.0 (TID 87)

### Explanation:
Running task 0.0 in stage 2.0 (TID 87)

### Output:
Running task 0.0 in stage 2.0 (TID 87)

### Explanation:
Running task 0.0 in stage 2.0 (TID",5.1724536418914795
Running task 1.0 in stage 2.0 (TID 101),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 2.0 (TID 101)

### Output:
Running task 1.0 in stage 2.0 (TID 101)

### Explanation:
Running task 1.0 in stage 2.0 (TID 101)

### Output:
Running task 1.0 in stage 2.0 (TID 101)

### Explanation:
Running task 1.0 in stage 2.0",5.1900246143341064
Running task 2.0 in stage 2.0 (TID 112),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 2.0 (TID 112)

### Output:
Running task 2.0 in stage 2.0 (TID 112)

### Explanation:
Running task 2.0 in stage 2.0 (TID 112)

### Output:
Running task 2.0 in stage 2.0 (TID 112)

### Explanation:
Running task 2.0 in stage 2.0",5.156480550765991
Running task 3.0 in stage 2.0 (TID 118),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 2.0 (TID 118)

### Output:
Running task 3.0 in stage 2.0 (TID 118)

### Explanation:
Running task 3.0 in stage 2.0 (TID 118)

### Output:
Running task 3.0 in stage 2.0 (TID 118)

### Explanation:
Running task 3.0 in stage 2.0",5.1762754917144775
Running task 4.0 in stage 2.0 (TID 119),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 2.0 (TID 119)

### Output:
Running task 4.0 in stage 2.0 (TID 119)

### Explanation:
Running task 4.0 in stage 2.0 (TID 119)

### Output:
Running task 4.0 in stage 2.0 (TID 119)

### Explanation:
Running task 4.0 in stage 2.0",5.205746650695801
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver

### Explanation:
Finished task",5.217949867248535
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.261141538619995
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver

### Explanation:
Finished task",5.1564130783081055
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver

### Explanation:
Finished task",5.154099464416504
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver

### Explanation:
Finished task 0.",5.14799427986145
Running task 0.0 in stage 3.0 (TID 122),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 3.0 (TID 122)

### Output:
Running task 0.0 in stage 3.0 (TID 122)

### Explanation:
Running task 0.0 in stage 3.0 (TID 122)

### Output:
Running task 0.0 in stage 3.0 (TID 122)

### Explanation:
Running task 0.0 in stage 3.0",5.102200031280518
Running task 1.0 in stage 3.0 (TID 136),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 3.0 (TID 136)

### Output:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3.0 (TID 136)

### Explanation:
Running task 1.0 in stage 3",5.156415700912476
Running task 2.0 in stage 3.0 (TID 150),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 3.0 (TID 150)

### Output:
Running task 2.0 in stage 3.0 (TID 150)

### Explanation:
Running task 2.0 in stage 3.0 (TID 150)

### Output:
Running task 2.0 in stage 3.0 (TID 150)

### Explanation:
Running task 2.0 in stage 3.0",5.095977544784546
Running task 3.0 in stage 3.0 (TID 158),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 3.0 (TID 158)

### Output:
Running task 3.0 in stage 3.0 (TID 158)

### Explanation:
Running task 3.0 in stage 3.0 (TID 158)

### Output:
Running task 3.0 in stage 3.0 (TID 158)

### Explanation:
Running task 3.0 in stage 3.0",5.194676160812378
Running task 4.0 in stage 3.0 (TID 159),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 3.0 (TID 159)

### Output:
Running task 4.0 in stage 3.0 (TID 159)

### Explanation:
Running task 4.0 in stage 3.0 (TID 159)

### Output:
Running task 4.0 in stage 3.0 (TID 159)

### Explanation:
Running task 4.0 in stage 3.0",5.124320983886719
Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,1.431318759918213
Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,1.4173872470855713
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver

### Explanation:
Finished task",5.199734210968018
Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.2573623657226562
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver

### Explanation:
Finished task",5.171276807785034
Running task 0.0 in stage 4.0 (TID 171),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 4.0 (TID 171)

### Output:
Running task 0.0 in stage 4.0 (TID 171)

### Explanation:
Running task 0.0 in stage 4.0 (TID 171)

### Output:
Running task 0.0 in stage 4.0 (TID 171)

### Explanation:
Running task 0.0 in stage 4.0",5.163678169250488
Running task 1.0 in stage 4.0 (TID 185),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 4.0 (TID 185)

### Output:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4.0 (TID 185)

### Explanation:
Running task 1.0 in stage 4",5.119365692138672
Running task 2.0 in stage 4.0 (TID 195),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 4.0 (TID 195)

### Output:
Running task 2.0 in stage 4.0 (TID 195)

### Explanation:
Running task 2.0 in stage 4.0 (TID 195)

### Output:
Running task 2.0 in stage 4.0 (TID 195)

### Explanation:
Running task 2.0 in stage 4.0",5.185721397399902
Running task 3.0 in stage 4.0 (TID 198),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 4.0 (TID 198)

### Output:
Running task 3.0 in stage 4.0 (TID 198)

### Explanation:
Running task 3.0 in stage 4.0 (TID 198)

### Output:
Running task 3.0 in stage 4.0 (TID 198)

### Explanation:
Running task 3.0 in stage 4.0",5.1103997230529785
Running task 4.0 in stage 4.0 (TID 199),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 4.0 (TID 199)

### Output:
Running task 4.0 in stage 4.0 (TID 199)

### Explanation:
Running task 4.0 in stage 4.0 (TID 199)

### Output:
Running task 4.0 in stage 4.0 (TID 199)

### Explanation:
Running task 4.0 in stage 4.0",5.172784805297852
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 4.0 (TID 171). 2099 bytes result sent to driver

### Explanation:
Finished task",5.1402716636657715
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 4.0 (TID 185). 2099 bytes result sent to driver

### Explanation:
Finished task",5.225088357925415
Finished task 2.0 in stage 4.0 (TID 195). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.2350223064422607
Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.2027478218078613
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver

### Explanation:
Finished task",5.144760847091675
Running task 0.0 in stage 5.0 (TID 206),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 5.0 (TID 206)

### Output:
Running task 0.0 in stage 5.0 (TID 206)

### Explanation:
Running task 0.0 in stage 5.0 (TID 206)

### Output:
Running task 0.0 in stage 5.0 (TID 206)

### Explanation:
Running task 0.0 in stage 5.0",5.160448789596558
Running task 1.0 in stage 5.0 (TID 220),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 5.0 (TID 220)

### Output:
Running task 1.0 in stage 5.0 (TID 220)

### Explanation:
Running task 1.0 in stage 5.0 (TID 220)

### Output:
Running task 1.0 in stage 5.0 (TID 220)

### Explanation:
Running task 1.0 in stage 5.0",5.126852989196777
Running task 2.0 in stage 5.0 (TID 231),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 5.0 (TID 231)

### Output:
Running task 2.0 in stage 5.0 (TID 231)

### Explanation:
Running task 2.0 in stage 5.0 (TID 231)

### Output:
Running task 2.0 in stage 5.0 (TID 231)

### Explanation:
Running task 2.0 in stage 5.0",5.197622299194336
Running task 3.0 in stage 5.0 (TID 238),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 5.0 (TID 238)

### Output:
Running task 3.0 in stage 5.0 (TID 238)

### Explanation:
Running task 3.0 in stage 5.0 (TID 238)

### Output:
Running task 3.0 in stage 5.0 (TID 238)

### Explanation:
Running task 3.0 in stage 5.0",5.146234750747681
Running task 4.0 in stage 5.0 (TID 239),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 5.0 (TID 239)

### Output:
Running task 4.0 in stage 5.0 (TID 239)

### Explanation:
Running task 4.0 in stage 5.0 (TID 239)

### Output:
Running task 4.0 in stage 5.0 (TID 239)

### Explanation:
Running task 4.0 in stage 5.0",5.159330606460571
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task 0.0 in stage 5.0 (TID 206). 2198 bytes result sent to driver

### Explanation:
Finished task",5.204039096832275
Finished task 3.0 in stage 5.0 (TID 238). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task 3.0 in stage 5.0 (TID 238). 2198 bytes result sent to driver,1.413905143737793
Finished task 2.0 in stage 5.0 (TID 231). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.218623399734497
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver

### Explanation:
Finished task",5.161139965057373
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver

### Explanation:
Finished task",5.222934007644653
Running task 0.0 in stage 6.0 (TID 247),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 0.0 in stage 6.0 (TID 247)

### Output:
Running task 0.0 in stage 6.0 (TID 247)

### Explanation:
Running task 0.0 in stage 6.0 (TID 247)

### Output:
Running task 0.0 in stage 6.0 (TID 247)

### Explanation:
Running task 0.0 in stage 6.0",5.174799680709839
Running task 1.0 in stage 6.0 (TID 261),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 6.0 (TID 261)

### Output:
Running task 1.0 in stage 6.0 (TID 261)

### Explanation:
Running task 1.0 in stage 6.0 (TID 261)

### Output:
Running task 1.0 in stage 6.0 (TID 261)

### Explanation:
Running task 1.0 in stage 6.0",5.149155616760254
Running task 2.0 in stage 6.0 (TID 273),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 6.0 (TID 273)

### Output:
Running task 2.0 in stage 6.0 (TID 273)

### Explanation:
Running task 2.0 in stage 6.0 (TID 273)

### Output:
Running task 2.0 in stage 6.0 (TID 273)

### Explanation:
Running task 2.0 in stage 6.0",5.155978441238403
Running task 3.0 in stage 6.0 (TID 278),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 3.0 in stage 6.0 (TID 278)

### Output:
Running task 3.0 in stage 6.0 (TID 278)

### Explanation:
Running task 3.0 in stage 6.0 (TID 278)

### Output:
Running task 3.0 in stage 6.0 (TID 278)

### Explanation:
Running task 3.0 in stage 6.0",5.153465986251831
Running task 4.0 in stage 6.0 (TID 279),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 4.0 in stage 6.0 (TID 279)

### Output:
Running task 4.0 in stage 6.0 (TID 279)

### Explanation:
Running task 4.0 in stage 6.0 (TID 279)

### Output:
Running task 4.0 in stage 6.0 (TID 279)

### Explanation:
Running task 4.0 in stage 6.0",5.180609226226807
