Content,EventTemplate,Dataset,Category,Inference_time_1,Unseen_LLAMA_FT_HealthApp_1
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.544534922,REPORT : <*> <*> <*> <*>
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,0.803552628,onReceive action: android.intent.action.SCREEN_ON
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.571807623,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.552042961,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.575177908,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550188065,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.590369463,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7019 5011 150346 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551635504,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.551128864,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.546579123,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.579349756,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551441908,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.563708782,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.553761244,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.577255249,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7023 5014 150432 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.5505898,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.577584743,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7024 5015 150454 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.556093216,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.564035177,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550076962,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.577450037,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547791958,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.578249693,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550269604,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.578032494,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7028 5017 150539 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547819614,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.567997456,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7029 5018 150561 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.554269791,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.582541943,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7030 5019 150582 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550782919,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.578071117,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7031 5020 150604 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551844597,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.573384762,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7032 5020 150625 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547408819,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.569709539,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7033 5021 150646 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.54255724,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.557730436,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7034 5022 150668 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547630787,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.577412367,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7035 5022 150689 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.548636436,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.580499887,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7036 5023 150711 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549263239,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.547976971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7037 5024 150732 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.544579029,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.547186852,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7038 5025 150753 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545221329,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.568964243,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7039 5025 150775 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545149803,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.552846193,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7040 5026 150796 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550436258,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.580858707,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7041 5027 150818 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545704126,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.563363552,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7042 5027 150839 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.546885252,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.569961548,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7044 5029 150882 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551818848,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.588881731,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7045 5030 150903 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.563570976,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.578601122,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7047 5031 150946 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551392078,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.584604979,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7048 5032 150968 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547075272,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.571361303,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7050 5033 151011 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.552982569,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.575970411,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7052 5035 151053 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551013231,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.55379796,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7053 5035 151075 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547981977,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.560269356,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7054 5036 151096 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547966957,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038500000##7054##548551##8661##16256##27205469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.585106134,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.559988499,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.548851967,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7056 5037 151139 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.541473389,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.568453074,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7058 5039 151182 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550754309,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.570979357,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7060 5040 151225 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.550978899,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7062##548556##8661##16256##27286470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.544945478,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7062 5042 151268 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545482874,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.561790466,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7064 5043 151310 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.553920984,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7066##548558##8661##16256##27287469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.580523014,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7066 5045 151353 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549223661,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.567430973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7068 5046 151396 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.546463728,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7070##548560##8661##16256##27288471,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.560343742,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7070 5047 151439 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549173355,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7071##548561##8661##16256##27288973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.566092253,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7071 5048 151460 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.54852128,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7074##548562##8661##16256##27289470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.575734615,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7074 5050 151525 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.55529809,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.57799387,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.577174902,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7075 5051 151546 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.548843384,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7077##548565##8661##16256##27309969,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.568546534,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7077 5052 151589 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.547749043,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.554476023,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7079 5054 151632 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.546360731,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.559738874,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7081 5055 151675 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549345255,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.570512295,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7083 5057 151717 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545790672,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7084##548569##8661##16256##27311970,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.567887306,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7084 5057 151739 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545955658,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.558122873,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7086 5059 151782 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.5503304,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7088##548571##8661##16256##27312967,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.571784973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7088 5060 151824 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549779415,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.563983679,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7090 5062 151867 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.54852891,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.551412344,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7092 5063 151910 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.555524826,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7094##548574##8661##16256##27314468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.597104788,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7094 5065 151953 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.551039219,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7095##548575##8661##16256##27314968,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.571178675,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7095 5065 151974 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.549992085,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038560000##7097##548576##8661##16256##27315469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,1.554949284,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7097 5067 152017 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,0.545365572,REPORT : <*> <*> <*> <*>
